Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1683160325.1495366,0,0,1.0,30.6
1683160330.6412795,0,0,1.0,30.4
1683160336.048136,0,0,1.0,34.2
1683160341.4115572,0,0,1.0,32.8
1683160346.809533,0,0,1.0,29.8
1683160352.1953676,0,0,1.0,28.0
1683160357.589847,0,0,1.5,27.8
1683160363.050487,0,0,1.0,30.0
1683160368.4803605,0,0,1.0,28.4
1683160373.8415413,0,0,1.0,26.8
1683160379.2437427,0,0,1.0,24.2
1683160384.6817985,0,0,1.0,27.8
1683160390.0873098,0,0,1.0,25.8
1683160395.4977708,0,0,1.0,24.8
1683160400.9121728,0,0,1.0,25.4
1683160406.3451142,0,0,1.0,28.0
1683160411.7854607,0,0,1.0,28.2
1683160417.2489955,0,0,1.0,28.8
1683160422.689395,0,0,1.0,25.0
1683160428.1594048,0,0,1.0,27.2
1683160433.5820372,0,0,1.0,25.2
1683160439.0293193,0,0,2.0,25.4
1683160444.5239735,0,0,1.0,21.6
1683160450.004473,0,0,2.0,27.2
1683160455.502246,0,0,2.0,24.4
1683160461.0577655,0,0,1.0,25.2
1683160466.547937,0,0,1.0,26.6
1683160472.0792875,0,0,1.0,23.8
1683160477.5890834,0,0,0.5,19.0
1683160483.0935326,0,0,0.0,24.6
1683160488.5952518,0,0,0.0,24.4
1683160494.134628,0,0,0.0,25.2
1683160499.6644342,0,0,1.0,24.4
1683160505.2194695,0,0,1.0,23.6
1683160510.8292675,0,0,1.0,26.4
1683160516.4071445,0,0,1.0,21.0
1683160522.0049875,0,0,2.0,23.6
1683160527.6590176,0,0,2.0,26.4
1683160533.2781513,0,0,2.0,23.2
1683160538.9370544,0,0,2.0,18.4
1683160544.5554965,0,0,2.0,22.6
1683160550.1701918,0,0,2.0,22.2
1683160555.8546767,0,0,3.0,23.0
1683160561.4841995,0,0,2.0,19.2
1683160567.2299786,0,0,2.0,20.6
1683160572.8806624,0,0,3.0,24.2
1683160578.5921428,0,0,3.0,21.0
1683160584.2995126,0,0,3.0,22.6
1683160589.9867272,0,0,3.5,20.6
1683160595.714383,0,0,4.0,23.8
1683160601.3883786,0,0,4.0,24.2
1683160607.1501088,0,0,4.0,25.6
1683160612.8657644,0,0,3.5,22.8
1683160618.555955,0,0,3.0,23.8
1683160624.3020663,0,0,3.0,24.2
1683160630.0205889,0,0,3.0,23.6
1683160635.7571492,0,0,3.0,23.8
1683160641.5602102,0,0,3.0,23.0
1683160647.2794976,0,0,2.0,21.0
1683160653.027401,0,0,2.0,24.2
1683160658.8161383,0,0,1.0,23.0
1683160664.596182,0,0,1.0,22.0
1683160670.4155035,0,0,1.0,22.0
1683160676.222744,0,0,1.0,22.8
1683160682.0191453,0,0,1.0,24.0
1683160687.9098682,0,0,1.0,20.6
1683160694.028155,0,0,1.0,29.0
1683160700.0314867,0,0,1.0,23.6
1683160705.8832846,0,0,1.0,19.8
1683160711.7269788,0,0,1.0,28.0
1683160717.564207,0,0,1.0,21.8
1683160723.4564672,0,0,1.0,22.8
1683160729.3076925,0,0,1.0,24.0
1683160735.233548,0,0,1.0,20.4
1683160741.0952663,0,0,1.0,21.6
1683160746.9975946,0,0,1.0,24.4
1683160752.8723562,0,0,1.0,23.6
1683160758.7473984,0,0,1.0,19.0
1683160764.684972,0,0,1.0,23.2
1683160770.5503762,0,0,1.0,22.2
1683160776.5300496,0,0,0.0,20.4
1683160782.5224333,0,0,1.0,20.2
1683160788.6227741,0,0,1.0,22.6
1683160794.701469,0,0,2.0,21.6
1683160800.66489,0,0,2.0,21.4
1683160806.5944028,0,0,2.0,21.2
1683160812.5707705,0,0,2.0,20.6
1683160818.6556888,0,0,2.0,21.0
1683160824.6354923,0,0,2.0,22.6
1683160830.582185,0,0,3.0,22.4
1683160836.597461,0,0,3.0,19.2
1683160842.5642922,0,0,3.0,19.8
1683160848.5616114,0,0,3.0,22.4
1683160854.6498969,0,0,2.0,26.6
1683160860.6797297,0,0,2.0,25.8
1683160867.0292852,0,0,2.0,22.2
1683160873.1297786,0,0,2.0,19.6
1683160879.187475,0,0,2.0,21.8
1683160885.2052262,0,0,2.0,23.2
1683160891.2834032,0,0,2.0,22.6
1683160897.381989,0,0,2.0,22.0
1683160903.5175147,0,0,2.0,21.6
1683160909.589488,0,0,2.0,21.6
1683160915.7523797,0,0,1.0,24.6
1683160922.016933,0,0,1.0,25.4
1683160928.2800148,0,0,1.0,25.6
1683160934.5719218,0,0,1.0,23.8
