Counts in Interval,Time Period
21,2023-03-24 15:42:30.528041  to  2023-03-24 15:42:41.228254
20,2023-03-24 15:42:41.228376  to  2023-03-24 15:42:52.542140
23,2023-03-24 15:42:52.542328  to  2023-03-24 15:43:03.991101
16,2023-03-24 15:43:03.991261  to  2023-03-24 15:43:14.673814
6,2023-03-24 15:43:14.674028  to  2023-03-24 15:43:25.163237
9,2023-03-24 15:43:25.163355  to  2023-03-24 15:43:36.601993
13,2023-03-24 15:43:36.602156  to  2023-03-24 15:43:47.544554
14,2023-03-24 15:43:47.544704  to  2023-03-24 15:43:58.088591
16,2023-03-24 15:43:58.088714  to  2023-03-24 15:44:09.081208
3,2023-03-24 15:44:09.081372  to  2023-03-24 15:44:20.949814
14,2023-03-24 15:44:20.949978  to  2023-03-24 15:44:31.036531
17,2023-03-24 15:44:31.036646  to  2023-03-24 15:44:42.659979
27,2023-03-24 15:44:42.660103  to  2023-03-24 15:44:53.402731
