Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1683160404.3762984,0,0,5.0,29.6
1683160409.8532329,0,0,6.0,34.6
1683160415.2380378,0,0,6.0,33.8
1683160420.6211042,0,0,5.5,34.6
1683160426.0759194,0,0,5.0,30.6
1683160431.4405773,0,0,5.0,26.8
1683160436.8579078,0,0,5.0,33.8
1683160442.2718499,0,0,5.0,32.0
1683160447.693845,0,0,5.0,34.8
1683160453.1512299,0,0,4.0,30.4
1683160458.587616,0,0,3.0,31.8
1683160464.0455906,0,0,3.0,31.2
1683160469.5317402,0,0,2.5,26.4
1683160474.9938824,0,0,3.0,32.2
1683160480.4573023,0,0,3.5,31.0
1683160485.9205308,0,0,4.0,26.8
1683160491.4595563,0,0,4.5,33.4
1683160496.9713206,0,0,5.0,32.4
1683160502.4552884,0,0,4.0,32.2
1683160507.9909503,0,0,4.0,33.0
1683160513.5072758,0,0,4.0,27.6
1683160519.0423977,0,0,4.0,28.0
1683160524.6024415,0,0,4.0,30.2
1683160530.1345184,0,0,4.0,31.2
1683160535.669374,0,0,4.0,34.2
1683160541.2420888,0,0,2.5,30.8
1683160546.7904897,0,0,2.0,36.8
1683160552.3746004,0,0,1.5,26.4
1683160557.9389212,0,0,1.0,28.4
1683160563.557555,0,0,1.0,30.6
1683160569.167348,0,0,2.0,28.2
1683160574.787298,0,0,2.0,26.6
1683160580.3724003,0,0,2.0,30.8
1683160586.0197325,0,0,2.0,33.4
1683160591.6369648,0,0,1.5,31.6
1683160597.312935,0,0,1.0,28.6
1683160602.917996,0,0,1.0,29.6
1683160608.7090895,0,0,1.0,31.4
1683160614.3583853,0,0,1.5,29.8
1683160620.0083275,0,0,2.0,34.2
1683160625.6580777,0,0,4.0,30.2
1683160631.405556,0,0,4.0,29.2
1683160637.1701732,0,0,4.0,28.2
1683160642.8598123,0,0,5.0,30.8
1683160648.580937,0,0,5.0,31.2
1683160654.3082557,0,0,5.0,33.4
1683160660.0667064,0,0,5.0,33.6
1683160665.759917,0,0,5.5,33.6
1683160671.5102224,0,0,6.0,32.0
1683160677.272375,0,0,6.0,29.0
1683160683.0590336,0,0,6.0,29.2
1683160688.8542454,0,0,4.5,32.0
1683160694.6595812,0,0,4.0,29.6
1683160700.4324367,0,0,4.0,35.4
1683160706.2394323,0,0,4.0,31.2
1683160712.0638573,0,0,4.0,29.0
1683160717.82916,0,0,4.0,33.4
1683160723.6429074,0,0,4.0,32.0
1683160729.526132,0,0,4.0,36.2
1683160735.4290113,0,0,3.0,33.2
1683160741.3464835,0,0,3.0,33.4
1683160747.1925902,0,0,3.0,36.4
1683160753.1674337,0,0,3.0,35.4
1683160759.0167642,0,0,3.0,32.8
1683160764.9045362,0,0,3.0,29.6
1683160770.9105132,0,0,3.0,31.2
1683160776.8532414,0,0,3.0,30.2
1683160783.0472188,0,0,3.0,31.6
1683160788.9802423,0,0,3.0,28.0
1683160794.8536568,0,0,2.0,28.0
1683160800.7418613,0,0,2.0,27.6
1683160806.653856,0,0,2.0,28.2
1683160812.5801008,0,0,1.5,30.0
1683160818.4887877,0,0,1.0,29.4
1683160824.4182353,0,0,2.0,34.4
1683160830.3791964,0,0,2.0,29.8
1683160836.350619,0,0,2.0,29.6
1683160842.2718678,0,0,2.0,30.8
1683160848.2423155,0,0,2.0,34.2
1683160854.1908114,0,0,2.0,34.6
1683160860.167904,0,0,3.0,31.6
1683160866.1346247,0,0,3.0,32.4
1683160872.1814003,0,0,3.0,30.4
1683160878.3028753,0,0,3.0,30.6
1683160884.5487525,0,0,2.0,36.2
1683160890.600385,0,0,2.0,27.4
1683160896.6287751,0,0,2.0,27.4
1683160902.8125389,0,0,2.0,29.2
1683160908.8778138,0,0,3.0,32.6
1683160914.9911442,0,0,4.0,31.0
1683160921.0348291,0,0,3.0,31.2
1683160927.1391768,0,0,4.0,32.4
1683160933.283093,0,0,4.0,31.4
1683160939.404953,0,0,4.0,30.4
1683160945.5664759,0,0,4.0,29.6
1683160951.7713048,0,0,5.0,29.4
1683160957.9193275,0,0,4.0,27.2
1683160963.9973094,0,0,4.0,25.4
1683160970.0832808,0,0,3.0,30.2
1683160976.259304,0,0,2.0,32.0
1683160982.345828,0,0,2.0,32.2
1683160988.4689143,0,0,2.0,33.2
1683160994.5985627,0,0,1.0,29.0
1683161000.8248255,0,0,1.0,35.2
1683161007.2372398,0,0,1.0,31.0
1683161013.4485004,0,0,2.0,31.8
1683161019.7427754,0,0,2.0,27.6
1683161026.0823603,0,0,2.0,30.2
1683161032.3621647,0,0,2.0,29.8
