Counts in Interval,Time Period
37,2023-03-24 15:35:05.674338  to  2023-03-24 15:35:16.940356
32,2023-03-24 15:35:16.940528  to  2023-03-24 15:35:27.391644
43,2023-03-24 15:35:27.391769  to  2023-03-24 15:35:38.071514
45,2023-03-24 15:35:38.071681  to  2023-03-24 15:35:49.400773
30,2023-03-24 15:35:49.401119  to  2023-03-24 15:36:00.090757
45,2023-03-24 15:36:00.090865  to  2023-03-24 15:36:11.101551
38,2023-03-24 15:36:11.101676  to  2023-03-24 15:36:22.086441
49,2023-03-24 15:36:22.086559  to  2023-03-24 15:36:33.041159
39,2023-03-24 15:36:33.041350  to  2023-03-24 15:36:44.023222
32,2023-03-24 15:36:44.023348  to  2023-03-24 15:36:55.060184
39,2023-03-24 15:36:55.060306  to  2023-03-24 15:37:06.132945
25,2023-03-24 15:37:06.133059  to  2023-03-24 15:37:17.897785
30,2023-03-24 15:37:17.897959  to  2023-03-24 15:37:28.471739
