Counts in Interval,Time Period
13,2023-03-24 16:01:27.350662  to  2023-03-24 16:01:38.077035
11,2023-03-24 16:01:38.077190  to  2023-03-24 16:01:49.693569
9,2023-03-24 16:01:49.693735  to  2023-03-24 16:02:00.089089
1,2023-03-24 16:02:00.089207  to  2023-03-24 16:02:11.295979
4,2023-03-24 16:02:11.296145  to  2023-03-24 16:02:22.292046
5,2023-03-24 16:02:22.292211  to  2023-03-24 16:02:33.343364
5,2023-03-24 16:02:33.343482  to  2023-03-24 16:02:44.755949
12,2023-03-24 16:02:44.756107  to  2023-03-24 16:02:55.419488
8,2023-03-24 16:02:55.419705  to  2023-03-24 16:03:06.023996
3,2023-03-24 16:03:06.024196  to  2023-03-24 16:03:17.361865
8,2023-03-24 16:03:17.362024  to  2023-03-24 16:03:28.187848
4,2023-03-24 16:03:28.187960  to  2023-03-24 16:03:39.139470
4,2023-03-24 16:03:39.139636  to  2023-03-24 16:03:50.170358
