Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1682116058.4952831,0,0,6.0,50.4
1682116063.8874197,0,0,5.0,52.4
1682116069.2337701,0,0,6.5,57.2
1682116074.573654,0,0,7.0,46.4
1682116079.9781728,0,0,6.5,61.8
1682116085.3886821,0,0,5.5,50.8
1682116090.8287747,0,0,5.0,54.2
1682116096.2308962,0,0,6.0,58.8
1682116101.7056887,0,0,5.0,55.6
1682116107.1062412,0,0,5.0,57.0
1682116112.5485811,0,0,5.0,51.4
1682116118.0070398,0,0,6.0,54.4
1682116123.4687102,0,0,6.0,51.6
1682116128.8982096,37.866135,-122.243291,6.5,46.2
1682116134.4576476,37.866213,-122.24329,5.5,47.0
1682116139.8999803,37.866248,-122.243218,5.0,44.4
1682116145.4182622,37.866196,-122.243205,5.0,44.4
1682116150.9173677,37.866178,-122.243261,7.0,44.2
1682116156.4267235,37.866175,-122.243283,5.0,39.4
1682116161.9731147,37.86619,-122.243316,5.0,35.8
1682116167.483903,37.8662,-122.243316,4.5,34.6
1682116172.9902685,37.8662,-122.243321,4.0,39.8
1682116178.5587378,37.86621,-122.243328,4.0,35.6
1682116184.119686,37.866223,-122.243338,4.0,33.6
1682116189.7100577,37.86623,-122.243338,4.0,37.8
1682116195.2517512,37.866225,-122.243325,5.5,37.4
1682116200.833729,37.866206,-122.243318,6.0,48.2
1682116206.3863816,37.86619,-122.243316,6.0,40.4
1682116211.95562,37.866175,-122.24331,6.0,33.4
1682116217.5722766,37.86616,-122.243298,8.0,38.0
1682116223.0653007,37.866148,-122.24329,8.0,39.0
1682116228.6443422,37.86615,-122.243296,9.0,35.4
1682116234.220396,37.866158,-122.243286,9.0,44.6
1682116239.87611,37.866168,-122.243286,9.0,42.0
1682116245.427146,37.866175,-122.243294,9.5,35.4
1682116250.9796257,37.866186,-122.243306,10.0,37.0
1682116256.6693788,37.866201,-122.243303,9.0,41.0
1682116262.2432175,37.866216,-122.24329,9.0,41.8
1682116267.8158262,37.866226,-122.243268,8.0,35.0
1682116273.4115613,37.866238,-122.24324,8.0,30.6
1682116278.9791002,37.86625,-122.243216,8.0,35.0
1682116284.616156,37.866265,-122.243196,8.5,39.2
1682116290.25701,37.866271,-122.2432,8.0,34.4
1682116295.8800704,37.866279,-122.24321,8.0,37.0
1682116301.6193194,37.866283,-122.24322,8.0,33.4
1682116307.236644,37.866276,-122.243231,7.5,34.0
1682116312.8735366,37.866268,-122.243241,7.0,43.4
1682116318.585067,37.866256,-122.243255,7.5,41.2
1682116324.1956675,37.866253,-122.243275,9.0,39.4
1682116329.9028797,37.866236,-122.24331,10.5,42.4
1682116335.6532745,37.866231,-122.243328,12.0,40.8
1682116341.361811,37.866223,-122.243341,12.5,39.4
1682116347.0770762,37.86621,-122.243355,12.0,45.0
1682116352.7993243,37.866193,-122.243356,11.0,38.0
1682116358.5829873,37.866173,-122.243349,10.0,44.8
1682116364.3180182,37.866136,-122.243325,9.0,43.0
1682116370.0406618,37.866128,-122.243315,9.0,44.0
1682116375.822841,37.866126,-122.243303,8.0,43.4
1682116381.5780683,37.866128,-122.243288,8.0,45.0
1682116387.385495,37.866121,-122.243271,6.0,44.6
1682116393.2375987,37.866108,-122.243258,6.0,41.4
1682116399.0661726,37.866096,-122.24325,6.0,46.4
1682116404.952302,37.86609,-122.243233,5.5,47.0
1682116410.7388341,37.866098,-122.243243,6.0,47.8
