Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1682724127.7435894,0,0,3.0,31.8
1682724133.323824,0,0,2.0,35.2
1682724138.6863227,0,0,2.0,40.2
1682724144.0641236,0,0,1.5,37.0
1682724149.4406285,0,0,1.0,36.0
1682724154.8654637,0,0,1.5,36.0
1682724160.2681673,0,0,2.0,38.4
1682724165.6941798,0,0,2.0,34.6
1682724171.1260977,0,0,2.0,29.4
1682724176.5267458,0,0,2.0,35.0
1682724181.9677918,0,0,2.0,36.8
1682724187.4442282,0,0,2.0,34.0
1682724192.8762774,0,0,2.0,32.0
1682724198.3448448,0,0,1.0,38.4
1682724203.820008,0,0,1.0,34.2
1682724209.2792323,0,0,2.0,38.4
1682724214.7872493,0,0,0.5,36.8
1682724220.2502112,0,0,0.0,33.0
1682724225.7200515,0,0,0.0,34.2
1682724231.235392,0,0,0.0,38.8
1682724236.728248,0,0,0.0,35.2
1682724242.1971433,0,0,0.0,33.6
1682724247.6961863,0,0,0.0,37.6
1682724253.1542377,0,0,0.0,38.0
1682724258.63138,0,0,0.0,37.2
1682724264.1673515,0,0,0.0,37.6
1682724269.6956062,0,0,0.5,29.6
1682724275.19816,0,0,2.0,35.0
1682724280.7636974,0,0,2.0,36.4
1682724286.3248715,0,0,2.0,28.6
1682724291.9143891,0,0,2.0,38.4
1682724297.4487002,0,0,2.0,34.2
1682724303.0187721,0,0,2.0,36.8
1682724308.6009762,0,0,2.0,38.0
1682724314.1741605,0,0,2.0,33.8
1682724319.7461703,0,0,2.0,35.8
1682724325.3645139,0,0,1.5,28.0
1682724331.0721734,0,0,1.0,30.6
1682724336.6594503,0,0,1.0,35.0
1682724342.3308938,0,0,0.0,33.8
1682724347.9642398,0,0,0.5,37.8
1682724353.5965192,0,0,1.0,35.8
1682724359.2361758,0,0,0.0,34.8
1682724364.8659787,0,0,0.0,35.6
1682724370.5467453,0,0,0.0,31.0
1682724376.1854587,0,0,0.5,37.0
1682724381.8848999,0,0,1.0,38.4
1682724387.5763292,0,0,1.0,36.8
1682724393.3106496,0,0,1.0,30.6
1682724399.0153844,0,0,1.0,37.0
1682724404.6775334,0,0,0.5,36.8
1682724410.44282,0,0,0.5,34.4
1682724416.2169642,0,0,0.0,37.4
1682724421.9508727,0,0,0.0,35.2
1682724427.6940346,0,0,1.0,34.8
1682724433.41693,0,0,1.0,38.4
1682724439.1868503,0,0,13.0,34.0
1682724444.9611847,0,0,15.0,34.2
1682724450.787415,0,0,17.0,37.8
1682724456.7207696,0,0,15.0,35.4
1682724462.674699,0,0,7.0,33.0
1682724468.6591654,0,0,5.0,35.6
1682724474.4478996,0,0,5.0,35.6
1682724480.34791,0,0,3.0,39.0
1682724486.161311,0,0,3.0,39.6
1682724492.0007584,0,0,3.0,34.2
1682724497.9063787,0,0,3.0,31.6
1682724503.891809,0,0,3.0,33.6
1682724509.733349,0,0,3.0,29.6
1682724515.5954285,0,0,3.0,33.4
1682724521.4780102,0,0,2.0,31.0
1682724527.315427,0,0,2.0,33.6
1682724533.1690645,0,0,1.5,32.2
1682724539.0111973,0,0,1.0,29.8
1682724544.8855815,0,0,1.5,33.6
1682724550.8161469,0,0,1.0,37.4
1682724556.735676,0,0,1.0,34.0
1682724562.696614,0,0,1.0,37.8
1682724568.6467412,0,0,1.0,39.6
1682724574.66624,0,0,1.0,37.2
1682724580.6550338,0,0,1.0,30.6
1682724586.5744576,0,0,0.0,39.0
1682724592.4981413,0,0,0.0,36.2
1682724598.5029821,0,0,0.0,33.0
1682724604.4392135,0,0,1.0,32.4
1682724610.464493,0,0,1.0,37.6
1682724616.4785416,0,0,1.0,30.8
1682724622.6336527,0,0,1.0,34.0
1682724628.6485932,0,0,1.0,28.6
1682724634.6330857,0,0,1.0,32.8
1682724640.6841981,0,0,0.0,37.2
1682724646.7837417,0,0,0.0,31.4
1682724653.0617778,0,0,0.0,32.8
1682724659.0999465,0,0,0.0,35.2
1682724665.1296818,0,0,0.0,33.0
1682724671.1521118,0,0,0.0,33.8
1682724677.2049847,0,0,1.0,31.4
1682724683.2770622,0,0,1.0,34.8
1682724689.363298,0,0,2.0,37.8
1682724695.4443765,0,0,2.0,30.6
1682724701.5333931,0,0,2.0,37.8
1682724707.65166,0,0,2.0,36.0
1682724713.8605137,0,0,2.0,38.2
1682724719.9589908,0,0,3.0,29.2
1682724726.3322992,0,0,6.0,37.8
