Counts in Interval,Time Period
0,2023-03-24 16:11:44.842940  to  2023-03-24 16:11:55.867181
0,2023-03-24 16:11:55.867347  to  2023-03-24 16:12:06.881684
0,2023-03-24 16:12:06.881853  to  2023-03-24 16:12:17.896173
0,2023-03-24 16:12:17.896347  to  2023-03-24 16:12:28.910479
0,2023-03-24 16:12:28.910650  to  2023-03-24 16:12:39.924920
0,2023-03-24 16:12:39.925093  to  2023-03-24 16:12:50.939494
0,2023-03-24 16:12:50.939665  to  2023-03-24 16:13:01.954190
0,2023-03-24 16:13:01.954377  to  2023-03-24 16:13:12.968878
0,2023-03-24 16:13:12.969052  to  2023-03-24 16:13:23.983374
0,2023-03-24 16:13:23.983543  to  2023-03-24 16:13:34.998148
2,2023-03-24 16:13:34.998320  to  2023-03-24 16:13:45.075914
0,2023-03-24 16:13:45.076025  to  2023-03-24 16:13:56.090633
0,2023-03-24 16:13:56.090868  to  2023-03-24 16:14:07.105047
