Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1683159582.5027368,0,0,1.0,37.6
1683159587.9745612,0,0,1.0,36.8
1683159593.32473,0,0,1.0,30.0
1683159598.737897,0,0,1.0,38.2
1683159604.139671,0,0,1.0,33.4
1683159609.50932,0,0,1.0,37.0
1683159615.133986,0,0,1.0,35.8
1683159620.5698853,0,0,1.0,34.0
1683159625.997188,0,0,1.0,35.4
1683159631.4754038,0,0,1.0,33.2
1683159636.935083,0,0,1.0,37.2
1683159642.3574636,0,0,1.0,36.6
1683159647.8788183,0,0,1.0,30.4
1683159653.3051863,0,0,1.0,39.6
1683159658.6925936,0,0,1.0,40.6
1683159664.0825634,0,0,1.0,34.6
1683159669.5065608,0,0,1.0,36.8
1683159674.9682,0,0,1.0,35.6
1683159680.4538815,0,0,1.0,31.8
1683159685.9389412,0,0,1.0,37.0
1683159691.371423,0,0,1.0,34.8
1683159696.865786,0,0,2.0,38.2
1683159702.3444326,0,0,2.0,33.4
1683159707.8377936,0,0,2.0,35.4
1683159713.3245625,0,0,2.0,30.0
1683159718.8230152,0,0,2.0,37.2
1683159724.3242676,0,0,1.5,32.8
1683159729.8738348,0,0,1.0,33.0
1683159735.3955588,0,0,1.0,36.4
1683159740.9680448,0,0,1.0,33.6
1683159746.4911196,0,0,1.0,34.6
1683159752.1075628,0,0,1.0,35.6
1683159757.6360788,0,0,1.0,33.2
1683159763.2557232,0,0,1.0,39.8
1683159768.8241186,0,0,1.0,33.6
1683159774.376129,0,0,1.0,33.0
1683159779.9730253,0,0,1.0,32.2
1683159785.5891738,0,0,1.0,34.4
1683159791.186707,0,0,1.0,37.0
1683159796.797333,0,0,2.0,36.0
1683159802.3999398,0,0,2.0,31.0
1683159808.056399,0,0,2.0,34.8
1683159813.7620032,0,0,2.0,30.4
1683159819.378064,0,0,2.0,32.8
1683159825.0355036,0,0,2.0,32.2
1683159830.7020574,0,0,2.0,39.8
1683159836.3246837,0,0,2.0,34.2
1683159841.9938757,0,0,2.0,38.8
1683159847.6417491,0,0,2.0,39.0
1683159853.3863375,0,0,2.0,38.4
1683159859.0539868,0,0,1.5,37.6
1683159864.7820275,0,0,1.0,32.2
1683159870.4883785,0,0,1.5,35.6
1683159876.1857715,0,0,2.0,37.8
1683159881.945334,0,0,2.0,39.4
1683159887.6538703,0,0,2.0,29.8
1683159893.367561,0,0,2.0,38.8
1683159899.198168,0,0,2.0,31.2
1683159904.9266603,0,0,1.0,34.8
1683159910.7096207,0,0,1.0,29.4
1683159916.4896276,0,0,2.0,34.0
1683159922.2877614,0,0,2.0,35.4
1683159928.1254222,0,0,2.0,33.4
1683159933.912955,0,0,1.5,36.8
1683159939.723695,0,0,2.0,37.8
1683159945.576281,0,0,1.5,32.8
1683159951.6227188,0,0,1.0,36.8
1683159957.638533,0,0,1.0,33.2
1683159963.513374,0,0,1.0,37.6
1683159969.358516,0,0,1.0,29.8
1683159975.258612,0,0,1.0,34.0
1683159981.17146,0,0,1.0,33.0
1683159987.0154827,0,0,1.0,34.0
1683159992.9287589,0,0,1.0,34.8
1683159998.8106723,0,0,1.0,30.2
1683160004.9182653,0,0,0.5,33.4
1683160010.8012009,0,0,1.0,36.2
1683160016.6565702,0,0,1.0,35.0
1683160022.6075976,0,0,1.0,34.0
1683160028.5748706,0,0,1.0,37.2
1683160034.650129,0,0,1.0,32.0
1683160040.7852726,0,0,1.0,33.4
1683160046.7559352,0,0,1.0,30.4
1683160052.711435,0,0,1.0,33.4
1683160058.6804552,0,0,1.0,36.6
1683160064.6769447,0,0,1.0,29.4
1683160070.6083097,0,0,1.0,29.6
1683160076.7053638,0,0,1.0,36.4
1683160082.6673136,0,0,1.0,34.8
1683160088.6294048,0,0,1.0,35.6
1683160094.6671524,0,0,1.0,33.8
1683160100.6232803,0,0,1.0,37.4
1683160106.6964064,0,0,1.0,31.4
1683160113.0354972,0,0,1.0,30.6
1683160119.0435495,0,0,1.0,38.4
1683160125.0575728,0,0,1.0,37.8
1683160131.1611478,0,0,1.0,34.4
1683160137.239585,0,0,1.0,29.2
1683160143.328176,0,0,1.0,36.0
1683160149.3956244,0,0,1.0,34.2
1683160155.4507203,0,0,1.0,29.4
1683160161.5695817,0,0,1.0,34.2
1683160167.6796284,0,0,1.0,36.6
1683160173.9687788,0,0,2.0,31.4
1683160180.2851152,0,0,2.0,35.0
1683160186.4752169,0,0,2.0,34.0
1683160192.6101243,0,0,2.0,32.4
1683160198.7705276,0,0,2.0,32.2
