Counts in Interval,Time Period
44,2023-03-24 15:31:35.390921  to  2023-03-24 15:31:46.441640
39,2023-03-24 15:31:46.441766  to  2023-03-24 15:31:57.018896
40,2023-03-24 15:31:57.019022  to  2023-03-24 15:32:08.482389
50,2023-03-24 15:32:08.482565  to  2023-03-24 15:32:19.049084
47,2023-03-24 15:32:19.049181  to  2023-03-24 15:32:30.364430
44,2023-03-24 15:32:30.364556  to  2023-03-24 15:32:41.443604
31,2023-03-24 15:32:41.443731  to  2023-03-24 15:32:52.260134
44,2023-03-24 15:32:52.260332  to  2023-03-24 15:33:03.013292
40,2023-03-24 15:33:03.013463  to  2023-03-24 15:33:14.157301
43,2023-03-24 15:33:14.157465  to  2023-03-24 15:33:25.116958
36,2023-03-24 15:33:25.117172  to  2023-03-24 15:33:36.044447
46,2023-03-24 15:33:36.044555  to  2023-03-24 15:33:47.030163
40,2023-03-24 15:33:47.030339  to  2023-03-24 15:33:58.379326
