Counts in Interval,Time Period
0,2023-03-24 16:25:21.981478  to  2023-03-24 16:25:32.004683
0,2023-03-24 16:25:32.004929  to  2023-03-24 16:25:43.018932
0,2023-03-24 16:25:43.019098  to  2023-03-24 16:25:54.033238
0,2023-03-24 16:25:54.033410  to  2023-03-24 16:26:05.047529
0,2023-03-24 16:26:05.047698  to  2023-03-24 16:26:16.062255
0,2023-03-24 16:26:16.062429  to  2023-03-24 16:26:27.076979
0,2023-03-24 16:26:27.077146  to  2023-03-24 16:26:38.091430
0,2023-03-24 16:26:38.091630  to  2023-03-24 16:26:49.105926
0,2023-03-24 16:26:49.106087  to  2023-03-24 16:27:00.120166
0,2023-03-24 16:27:00.120333  to  2023-03-24 16:27:11.134365
0,2023-03-24 16:27:11.134537  to  2023-03-24 16:27:22.148997
0,2023-03-24 16:27:22.149168  to  2023-03-24 16:27:33.163420
0,2023-03-24 16:27:33.163586  to  2023-03-24 16:27:44.176739
