Counts in Interval,Time Period
6,2023-03-24 16:08:13.067974  to  2023-03-24 16:08:24.509798
7,2023-03-24 16:08:24.509962  to  2023-03-24 16:08:35.166683
10,2023-03-24 16:08:35.166802  to  2023-03-24 16:08:46.088898
15,2023-03-24 16:08:46.089005  to  2023-03-24 16:08:57.242092
12,2023-03-24 16:08:57.242197  to  2023-03-24 16:09:08.393579
8,2023-03-24 16:09:08.393743  to  2023-03-24 16:09:19.323589
9,2023-03-24 16:09:19.323756  to  2023-03-24 16:09:30.484515
10,2023-03-24 16:09:30.484678  to  2023-03-24 16:09:41.071149
3,2023-03-24 16:09:41.071311  to  2023-03-24 16:09:52.409046
8,2023-03-24 16:09:52.409213  to  2023-03-24 16:10:03.885884
7,2023-03-24 16:10:03.886041  to  2023-03-24 16:10:14.377583
21,2023-03-24 16:10:14.377815  to  2023-03-24 16:10:25.122280
13,2023-03-24 16:10:25.122513  to  2023-03-24 16:10:36.633911
