Counts in Interval,Time Period
21,2023-03-24 15:58:28.842971  to  2023-03-24 15:58:39.151011
14,2023-03-24 15:58:39.151133  to  2023-03-24 15:58:50.745243
15,2023-03-24 15:58:50.745455  to  2023-03-24 15:59:01.150917
26,2023-03-24 15:59:01.151024  to  2023-03-24 15:59:12.078688
24,2023-03-24 15:59:12.078796  to  2023-03-24 15:59:23.809113
20,2023-03-24 15:59:23.809275  to  2023-03-24 15:59:34.047705
20,2023-03-24 15:59:34.047827  to  2023-03-24 15:59:45.621929
11,2023-03-24 15:59:45.622096  to  2023-03-24 15:59:56.573014
15,2023-03-24 15:59:56.573134  to  2023-03-24 16:00:07.377381
14,2023-03-24 16:00:07.377548  to  2023-03-24 16:00:18.587555
19,2023-03-24 16:00:18.587725  to  2023-03-24 16:00:29.113715
21,2023-03-24 16:00:29.113836  to  2023-03-24 16:00:40.331253
26,2023-03-24 16:00:40.331369  to  2023-03-24 16:00:51.684359
