Counts in Interval,Time Period
5,2023-03-24 15:54:16.111828  to  2023-03-24 15:54:27.821336
6,2023-03-24 15:54:27.821572  to  2023-03-24 15:54:38.765977
9,2023-03-24 15:54:38.766137  to  2023-03-24 15:54:49.282569
5,2023-03-24 15:54:49.282733  to  2023-03-24 15:55:00.983090
4,2023-03-24 15:55:00.983280  to  2023-03-24 15:55:11.584394
3,2023-03-24 15:55:11.584622  to  2023-03-24 15:55:22.866725
5,2023-03-24 15:55:22.866943  to  2023-03-24 15:55:33.188883
1,2023-03-24 15:55:33.189084  to  2023-03-24 15:55:44.019224
0,2023-03-24 15:55:44.019393  to  2023-03-24 15:55:55.033978
5,2023-03-24 15:55:55.034142  to  2023-03-24 15:56:06.772347
3,2023-03-24 15:56:06.772514  to  2023-03-24 15:56:17.207406
11,2023-03-24 15:56:17.207573  to  2023-03-24 15:56:28.417996
8,2023-03-24 15:56:28.418157  to  2023-03-24 15:56:39.044444
