Counts in Interval,Time Period
68,2023-03-24 15:27:54.656778  to  2023-03-24 15:28:05.190614
50,2023-03-24 15:28:05.190745  to  2023-03-24 15:28:16.157833
55,2023-03-24 15:28:16.158021  to  2023-03-24 15:28:27.151608
47,2023-03-24 15:28:27.151732  to  2023-03-24 15:28:38.118707
47,2023-03-24 15:28:38.118887  to  2023-03-24 15:28:49.029741
65,2023-03-24 15:28:49.029854  to  2023-03-24 15:29:00.008062
48,2023-03-24 15:29:00.008245  to  2023-03-24 15:29:11.098075
68,2023-03-24 15:29:11.098265  to  2023-03-24 15:29:22.049640
67,2023-03-24 15:29:22.049769  to  2023-03-24 15:29:33.064946
44,2023-03-24 15:29:33.065060  to  2023-03-24 15:29:44.029095
55,2023-03-24 15:29:44.029288  to  2023-03-24 15:29:55.030048
61,2023-03-24 15:29:55.030188  to  2023-03-24 15:30:06.783467
52,2023-03-24 15:30:06.783634  to  2023-03-24 15:30:17.051382
