Time,PM 1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1677280158.7868881,0,0,0,21.715546875,79482,29.66159089085679,996.0959062037331,143.80856437628685
1677280159.9798794,0,0,0,21.735859375,10772,29.614390573312367,996.0909407816127,143.85048051356088
1677280161.1728776,0,0,0,21.7751171875,17816,29.541618637346765,996.0942186316929,143.82281017560442
1677280162.3658946,0,0,0,21.814765625,24227,29.441793961986683,996.0964061169885,143.80434431491452
1677280163.5590448,0,0,0,21.84796875,28968,29.34692382828109,996.0950596716316,143.81571045480828
1677280164.750607,0,0,0,21.875703125,33032,29.240835252965045,996.0986074018319,143.7857619972054
1677280165.942219,0,0,0,21.8993359375,36460,29.134487175985328,996.100686910248,143.76820769524417
1677280167.1340375,0,0,0,21.9216015625,39450,29.044324475423387,996.0971356573293,143.79818583953903
1677280168.326454,0,0,0,21.9407421875,41916,28.99179799774728,996.1005438832719,143.76941506556943
1677280169.5195637,0,0,0,21.95890625,44396,28.944613765505416,996.0955241751394,143.8117893051552
1677280170.7125561,0,0,0,21.974921875,48361,28.91347855407744,996.1024650515009,143.75319742680975
1677280171.9055433,0,0,1,21.9925,50144,28.90948646606127,996.0947853332277,143.81802630871175
1677280173.0987864,0,0,1,22.007734375,52185,28.926919922444306,996.095325352917,143.81346768129697
1677280174.2898562,0,0,0,22.024140625,53544,28.933641894134297,996.0960376199431,143.80745501471648
1677280175.481594,0,0,0,22.0419140625,55250,28.97290657382572,996.1023775106171,143.75393640705548
1677280176.6732235,0,0,0,22.0534375,56702,29.00627415153493,996.1055081514143,143.72750899682967
1677280177.864671,0,0,1,22.0653515625,58080,29.01264133725026,996.1024121695382,143.75364383223524
1677280179.0561051,10,12,13,22.078046875,59287,29.00284870754495,996.1005733111574,143.76916664839285
1677280180.2475011,11,16,16,22.085078125,60587,28.96556724007292,996.0981834702641,143.78934064601634
1677280181.4389997,12,17,17,22.0907421875,61514,28.90656809645489,996.098733672264,143.7846960765089
1677280182.6304038,12,18,18,22.09796875,62470,28.896341194358694,996.0898023921762,143.86009037252379
1677280183.8218617,12,18,18,22.103046875,63411,28.858929341409286,996.0911227258247,143.84894460921888
1677280185.0150602,12,18,19,22.1024609375,64615,28.810272397967726,996.0867516254598,143.88584385094228
1677280186.207034,12,18,19,22.09328125,65768,28.71776718838228,996.0908247244338,143.85146022456155
1677280187.3992958,13,19,19,22.0864453125,66611,28.598553078558318,996.1003847041538,143.77075878527955
1677280188.5910919,13,19,20,22.07765625,67578,28.45235888671619,996.0948029630782,143.8178774846231
1677280189.7832544,11,18,19,22.067890625,68414,28.333150976113533,996.0979313877062,143.7914686196372
1677280190.9754286,1,6,7,22.0594921875,68947,28.203406832397214,996.1015468519347,143.7609484517201
1677280192.1673284,0,4,4,22.0471875,69708,28.094968126283074,996.1022998329768,143.75459212633905
1677280193.3596046,0,2,3,22.033515625,70318,27.997248330208315,996.0939959867393,143.8246896555421
1677280194.5514102,0,2,3,22.016328125,71224,27.91005702239597,996.0971674261092,143.79791766082818
1677280195.7437541,0,2,3,21.9981640625,71686,27.80677177979528,996.0901969447955,143.85675970548365
1677280196.9368587,0,2,2,21.9790234375,72390,27.714207573297795,996.095361283615,143.81316436897143
1677280198.128605,0,2,2,21.960859375,72988,27.632492828513577,996.0918152689919,143.84309842335884
1677280199.3207428,0,2,2,21.939765625,73290,27.566654800800162,996.0886906470113,143.86947531906512
1677280200.512601,0,2,2,21.9235546875,73902,27.517270740592515,996.0882870913463,143.87288199066234
1677280201.704228,0,2,2,21.90265625,74088,27.46220265583,996.083760486556,143.91109403476298
1677280202.8973007,0,2,2,21.8856640625,74026,27.444864485910674,996.0752431105498,143.98299518102527
1677280204.0893571,0,2,2,21.867109375,74337,27.42206678655221,996.0642086474581,144.07614556548486
1677280205.2812157,0,2,2,21.8536328125,74400,27.447750391280824,996.0510719862384,144.1870433096672
1677280206.4724844,0,2,2,21.84015625,74588,27.47343774725636,996.020803315475,144.44257144366338
1677280207.664629,0,2,3,21.82921875,74462,27.515362109725963,995.9792056562165,144.7937491625643
1677280208.858532,0,2,3,21.8223828125,74400,27.58435621878924,995.9356480610655,145.16148587333572
1677280210.051896,0,2,3,21.818671875,74400,27.696446102595438,995.8988363348627,145.47228047366607
1677280211.2451797,0,1,2,21.8157421875,74088,27.80333049671331,995.8667091762026,145.74353173774526
1677280212.4390411,0,1,2,21.8180859375,74714,27.92679543304687,995.8396471128016,145.97202363822498
1677280213.6310322,0,1,2,21.8227734375,74967,28.045189788434993,995.7940879839452,146.35670233496646
1677280214.8225806,0,1,2,21.8286328125,75095,28.126182236603345,995.7332835595548,146.87012695064033
1677280216.0142996,0,1,2,21.8274609375,76326,28.195925621707623,995.6765768746466,147.34897366734918
1677280217.2067587,0,1,2,21.7415234375,78774,28.167696837911098,995.6375788497738,147.67829644288804
1677280218.3988173,0,1,1,21.653828125,79840,28.085665196730737,995.6094298340536,147.9160101508447
1677280219.590396,0,1,1,21.5594921875,81159,28.164185336131478,995.6065224924458,147.94056247226496
1677280220.7818706,0,1,1,21.460078125,82139,28.161780486366453,995.6090960840193,147.91882864644893
1677280221.9734185,1,2,2,21.3716015625,82831,27.940344022323693,995.6086990922516,147.9221812150465
1677280223.1655564,1,2,2,21.3091015625,83065,27.951571898610688,995.6347053745226,147.70256220916417
1677280224.3576503,1,2,2,21.239765625,83300,27.67856921053237,995.6531002936775,147.5472227847122
1677280225.5497549,0,0,1,21.156171875,84012,27.656107750839503,995.6450765298179,147.614980712493
