Counts in Interval,Time Period
35,2023-03-24 15:38:35.938796  to  2023-03-24 15:38:46.111927
37,2023-03-24 15:38:46.112042  to  2023-03-24 15:38:57.523968
34,2023-03-24 15:38:57.524077  to  2023-03-24 15:39:08.378426
43,2023-03-24 15:39:08.378643  to  2023-03-24 15:39:19.283379
40,2023-03-24 15:39:19.283488  to  2023-03-24 15:39:30.124428
24,2023-03-24 15:39:30.124535  to  2023-03-24 15:39:41.045345
32,2023-03-24 15:39:41.045465  to  2023-03-24 15:39:52.669584
16,2023-03-24 15:39:52.669778  to  2023-03-24 15:40:03.465202
23,2023-03-24 15:40:03.465323  to  2023-03-24 15:40:14.058047
21,2023-03-24 15:40:14.058169  to  2023-03-24 15:40:25.383812
19,2023-03-24 15:40:25.383938  to  2023-03-24 15:40:36.182776
20,2023-03-24 15:40:36.182872  to  2023-03-24 15:40:47.079349
9,2023-03-24 15:40:47.079470  to  2023-03-24 15:40:58.692350
