Time,PM 1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1677280837.121284,0,0,0,21.8094921875,238883,28.78144370585901,996.2951984993957,142.12635698126473
1677280838.3146458,0,0,0,21.82921875,12062,28.77222638060598,996.296138963052,142.11841926253618
1677280839.5078068,0,0,0,21.869453125,20510,28.716089827116853,996.3026998842226,142.06304382325703
1677280840.7010527,0,0,0,21.9079296875,29509,28.643653020411108,996.3029964247615,142.06054097092658
1677280841.8946218,0,0,0,21.943671875,36672,28.576417591334454,996.3023093337252,142.06634013646868
1677280843.0861092,0,0,0,21.9753125,42891,28.503495090331935,996.2950106970342,142.1279420749509
1677280844.2781422,0,0,0,22.0024609375,50286,28.424864159323512,996.2941812461368,142.1349428278425
1677280845.4696503,0,0,0,22.0262890625,55181,28.35677182094444,996.2931422946805,142.14371181942164
1677280846.6617184,0,0,0,22.04796875,59407,28.283159630871086,996.2954958359784,142.12384739489016
1677280847.85616,0,0,0,22.0673046875,63184,28.220150072243,996.2957869025178,142.1213907296525
1677280849.0491776,0,0,0,22.0833203125,66510,28.156904674455703,996.3027262788133,142.06282104842242
1677280850.2416346,0,0,0,22.0973828125,69380,28.098903983336776,996.3065196501095,142.03080439891949
1677280851.4335217,0,0,0,22.1096875,71919,28.073010694409653,996.305767755578,142.0371504990078
1677280852.625757,0,0,0,22.120234375,74150,28.030873870314792,996.3021845578246,142.06739326670015
1677280853.817851,0,0,0,22.1286328125,76063,27.98321270084152,996.3037109349756,142.05451038628283
1677280855.0100656,0,0,0,22.1372265625,77872,27.940948208296707,996.3038375741407,142.05344153110073
1677280856.2018983,0,0,0,22.1450390625,79553,27.91472944038653,996.3078478637316,142.01959409067746
1677280857.3940134,0,0,0,22.1524609375,81085,27.8884845818762,996.3095149619711,142.00552356611718
1677280858.5859203,0,0,0,22.160078125,82215,27.856896154714104,996.309782321518,142.00326701877188
1677280859.777932,0,0,0,22.1665234375,83457,27.825223050341222,996.3064484016859,142.03140574589244
1677280860.9700203,0,0,0,22.17375,84574,27.815061957388604,996.3043722034071,142.04892917422973
1677280862.162455,0,0,0,22.18078125,85473,27.78880345846938,996.3002671516599,142.08357652054642
1677280863.3542025,0,0,0,22.1876171875,86476,27.757174726432837,996.2975614157093,142.10641346286627
1677280864.546483,0,0,0,22.19484375,87158,27.752376731200503,996.297198506564,142.10947649108238
1677280865.7389684,0,0,0,22.2001171875,88201,27.736709253935807,996.2988329825596,142.09568118290156
1677280866.9309363,0,0,0,22.2051953125,88554,27.71567011191338,996.2950104252815,142.1279443686073
1677280868.1227865,0,0,0,22.2110546875,89450,27.70540919665981,996.2958739304495,142.12065619499174
1677280869.314905,0,0,0,22.216328125,90180,27.68974630078919,996.2992222423795,142.0923957539431
1677280870.5068197,0,0,0,22.2219921875,90735,27.658046825005815,996.2963426463834,142.11670013151854
1677280871.6987906,0,0,0,22.2282421875,91203,27.64781966869802,996.2995489065272,142.0896386454966
1677280872.8905487,0,0,0,22.23390625,91866,27.63219270065871,996.3000974205534,142.08500908291498
1677280874.0826638,0,0,0,22.2399609375,91961,27.62730657158818,996.3064174704919,142.0316668096456
1677280875.2747405,0,0,0,22.24640625,92442,27.601033922836145,996.3047951043964,142.04535982334568
1677280876.4669101,0,0,0,22.2524609375,95145,27.596148509010185,996.2991150435436,142.0933005329649
1677280877.6591551,0,0,0,22.258125,92928,27.580526378347834,996.3013772630821,142.0742069768554
1677280878.8512247,0,0,0,22.2659375,95350,27.565071774685308,996.3036697997427,142.05485757437123
1677280880.043337,0,0,0,22.271796875,95763,27.565524582230314,996.3045318979248,142.0475813272305
1677280881.2347264,0,0,0,22.2784375,96128,27.555332807511686,996.304937329995,142.04415941719452
1677280882.4265342,0,0,0,22.284296875,96337,27.534377793728503,996.3023704107487,142.06582463584317
1677280883.618471,0,0,0,22.290546875,96812,27.52950892483127,996.3072897015564,142.024305055818
1677280884.8113816,0,0,0,22.297578125,97131,27.50329714007681,996.3014659335313,142.07345858238986
1677280886.0035956,0,0,0,22.3034375,97077,27.487698724907105,996.2937551792535,142.13853893039152
1677280887.1951988,0,0,0,22.3091015625,97452,27.48813553207898,996.2925874056763,142.14839521452058
1677280888.3871422,0,0,0,22.3159375,97398,27.477963170902914,996.2898771958138,142.17127006034704
1677280889.5788312,0,0,0,22.3235546875,98100,27.46785156937541,996.2849955203818,142.21247274318324
1677280890.7706602,0,0,0,22.3309765625,98868,27.44702801204717,996.2866569844372,142.19844951139677
1677280891.9630148,0,0,0,22.336640625,98648,27.426071802604557,996.2923464087363,142.15042928663973
1677280893.1557298,0,0,0,22.3423046875,98979,27.426507898748838,996.2894632219426,142.17476410729594
1677280894.3474162,0,0,0,22.3489453125,99760,27.410976550080992,996.2898664835838,142.17136047433561
1677280895.539335,0,0,0,22.35421875,98979,27.41138242146377,996.2863540757542,142.2010061458964
1677280896.7312667,0,0,0,22.359296875,99592,27.390385503168126,996.2893853064752,142.17542173420384
1677280897.9233828,0,0,0,22.363984375,100440,27.36936145569849,996.29178763691,142.1551454567316
1677280899.115142,0,0,0,22.3680859375,100783,27.364331086894943,996.2863883299123,142.20071703113652
1677280900.306792,0,0,0,22.3708203125,101129,27.343160540002152,996.2873609500897,142.19250784567194
1677280901.49858,0,0,0,22.37453125,101014,27.34879051288083,996.2881910097768,142.18550191562633
1677280902.6911805,0,0,0,22.3774609375,101071,27.338325924775496,996.284334162031,142.21805480207468
1677280903.8840337,0,0,0,22.3801953125,100383,27.327847046288674,996.2887359018569,142.1809028804968
