Counts in Interval,Time Period
7,2023-03-24 15:50:27.242379  to  2023-03-24 15:50:38.837747
7,2023-03-24 15:50:38.837920  to  2023-03-24 15:50:49.581437
8,2023-03-24 15:50:49.581608  to  2023-03-24 15:51:00.564279
7,2023-03-24 15:51:00.564399  to  2023-03-24 15:51:11.438429
7,2023-03-24 15:51:11.438595  to  2023-03-24 15:51:22.137479
11,2023-03-24 15:51:22.137650  to  2023-03-24 15:51:33.176341
7,2023-03-24 15:51:33.176437  to  2023-03-24 15:51:44.902913
13,2023-03-24 15:51:44.903074  to  2023-03-24 15:51:55.664532
7,2023-03-24 15:51:55.664706  to  2023-03-24 15:52:06.392866
14,2023-03-24 15:52:06.393039  to  2023-03-24 15:52:17.101959
13,2023-03-24 15:52:17.102136  to  2023-03-24 15:52:28.231924
6,2023-03-24 15:52:28.232029  to  2023-03-24 15:52:39.639529
13,2023-03-24 15:52:39.639703  to  2023-03-24 15:52:50.936980
